msisdn,destination,duration,event_type,timestamp
355659359691,355699721083,573,DATA,2025-05-02 15:57:34
355615266612,355644671965,529,VOICE,2025-05-18 13:47:56
355662067645,355636486219,311,VOICE,2025-05-19 15:12:38
355683593178,355664774275,351,DATA,2025-05-13 00:25:40
355684827215,355675440823,562,VOICE,2025-05-22 07:22:17
355649352142,355635599667,161,VOICE,2025-05-14 14:34:25
355659420018,355682795194,452,VOICE,2025-05-02 21:36:33
355643047914,355680406722,476,DATA,2025-05-06 21:27:37
355618801013,355681390517,332,VOICE,2025-05-07 14:01:53
355638789281,355629947513,548,VOICE,2025-05-04 09:38:06
355661398047,355635394220,557,SMS,2025-05-24 18:39:40
355684116674,355679023768,465,SMS,2025-05-25 11:16:46
355636118158,355650658378,309,DATA,2025-05-26 18:43:11
355634483697,355661555166,162,DATA,2025-05-28 00:32:13
355639709746,355683166906,375,DATA,2025-05-20 13:48:37
355649203915,355657832582,527,VOICE,2025-05-24 00:20:13
355691533664,355688356154,266,VOICE,2025-05-17 13:44:19
355638612959,355622727493,160,SMS,2025-05-24 04:46:30
